"chr" "start" "end" "strand" "pvalue" "qvalue" "meth.diff"
"517209" "NC_086373.1" 90626338 90626340 "*" 3.96045300750314e-16 1.15802251722886e-11 56.3226247436774
"606937" "NC_086373.1" 105503509 105503511 "*" 2.39796986968509e-19 4.16799617491633e-14 -57.8638497652582
"907320" "NC_086374.1" 34742951 34742953 "*" 8.08583134818089e-19 1.10089037084246e-13 58.2670906200318
"1500842" "NC_086375.1" 31938079 31938081 "*" 6.88990984125562e-24 8.98169683872311e-18 -60.6923802783675
"1551568" "NC_086375.1" 43581688 43581690 "*" 3.46500336043448e-25 6.02264479422327e-19 58.1981981981982
"1859027" "NC_086375.1" 90876604 90876606 "*" 1.04306199203214e-18 1.3221049888995e-13 55.8823529411765
"1914146" "NC_086376.1" 5631156 5631158 "*" 3.19087130175367e-18 2.9190348290446e-13 58.9955022488756
"2751840" "NC_086378.1" 6633121 6633123 "*" 1.21427293662247e-17 7.19512739874159e-13 -55.241935483871
"3165089" "NC_086379.1" 1603830 1603832 "*" 4.35577488637991e-22 2.52364208779824e-16 -60.822949869603
"3382604" "NC_086379.1" 47961734 47961736 "*" 3.43029086481689e-19 5.76997720533715e-14 56.4495530012771
"3464660" "NC_086379.1" 64017640 64017642 "*" 3.94449482471709e-28 1.71879578666928e-21 -63.5951772013153
"3464661" "NC_086379.1" 64017775 64017777 "*" 1.43363165703135e-23 1.49510750863529e-17 -59.1351928466569
"3940870" "NC_086381.1" 21212100 21212102 "*" 1.85722733322965e-17 1.06421289970071e-12 -56.0704607046071
"4298213" "NC_086382.1" 25952234 25952236 "*" 3.76871785457185e-19 6.01750287559669e-14 -55.8318584070797
"4352905" "NC_086382.1" 36708761 36708763 "*" 8.61417318816998e-18 5.83348006902031e-13 -56.5044858523119
"5283091" "NC_086386.1" 17736433 17736435 "*" 1.22697405743208e-15 2.8501465326583e-11 -58.4235938927313
