Summary of parameters for genome-wide cytosine report:
==============================================================================
Coverage infile:				output/25-meth-extract/93M_pe.deduplicated.bismark.cov.gz
Output directory:				><
Parent directory:				>/home/shared/16TB_HDD_01/sr320/github/project-mytilus-methylation/<
Genome directory:				>/home/shared/16TB_HDD_01/sr320/github/project-mytilus-methylation/output/22-genome-prep/<
Coverage threshold				0 (all positions will be reported, default)
CX context:					no (CpG context only, default)
Pooling CpG top/bottom strand evidence:		yes
Genome coordinates used:			0-based (user specified)
GZIP compression:				no
Split by chromosome:				no


Now reading in and storing sequence information of the genome specified in: /home/shared/16TB_HDD_01/sr320/github/project-mytilus-methylation/output/22-genome-prep/

chr NC_086373.1 (113486924 bp)
chr NC_086374.1 (103707636 bp)
chr NC_086375.1 (94312406 bp)
chr NC_086376.1 (96324366 bp)
chr NC_086377.1 (88129055 bp)
chr NC_086378.1 (91445414 bp)
chr NC_086379.1 (85406108 bp)
chr NC_086380.1 (80675551 bp)
chr NC_086381.1 (82295107 bp)
chr NC_086382.1 (78455819 bp)
chr NC_086383.1 (71253669 bp)
chr NC_086384.1 (60198110 bp)
chr NC_086385.1 (63222996 bp)
chr NC_086386.1 (81773519 bp)
chr NW_026963290.1 (8139973 bp)
chr NW_026963291.1 (22515 bp)
chr NW_026963292.1 (5553665 bp)
chr NW_026963293.1 (500000 bp)
chr NW_026963294.1 (5965364 bp)
chr NW_026963295.1 (6074899 bp)
chr NW_026963296.1 (3628579 bp)
chr NW_026963297.1 (3444836 bp)
chr NW_026963298.1 (2989614 bp)
chr NW_026963299.1 (250000 bp)
chr NW_026963300.1 (356632 bp)
chr NW_026963301.1 (4334515 bp)
chr NW_026963302.1 (4076163 bp)
chr NW_026963303.1 (250000 bp)
chr NW_026963304.1 (4603332 bp)
chr NW_026963305.1 (1250000 bp)
chr NW_026963306.1 (121029 bp)
chr NW_026963307.1 (125000 bp)
chr NW_026963308.1 (418548 bp)
chr NW_026963309.1 (710015 bp)
chr NW_026963310.1 (3670610 bp)
chr NW_026963311.1 (1420456 bp)
chr NW_026963312.1 (1013396 bp)
chr NW_026963313.1 (825963 bp)
chr NW_026963314.1 (2737876 bp)
chr NW_026963315.1 (4066460 bp)
chr NW_026963316.1 (450949 bp)
chr NW_026963317.1 (4467411 bp)
chr NW_026963318.1 (3454087 bp)
chr NW_026963319.1 (250000 bp)
chr NW_026963320.1 (175774 bp)
chr NW_026963321.1 (741490 bp)
chr NW_026963322.1 (899002 bp)
chr NW_026963323.1 (961498 bp)
chr NW_026963324.1 (293216 bp)
chr NW_026963325.1 (26743 bp)
chr NW_026963326.1 (30845 bp)
chr NW_026963327.1 (35643 bp)
chr NW_026963328.1 (31473 bp)
chr NW_026963329.1 (267817 bp)
chr NW_026963330.1 (38397 bp)
chr NW_026963331.1 (73781 bp)
chr NW_026963332.1 (1260917 bp)
chr NW_026963333.1 (250000 bp)
chr NW_026963334.1 (25388 bp)
chr NW_026963335.1 (565390 bp)
chr NW_026963336.1 (26109 bp)
chr NW_026963337.1 (659095 bp)
chr NW_026963338.1 (357655 bp)
chr NW_026963339.1 (277346 bp)
chr NW_026963340.1 (4220937 bp)
chr NW_026963341.1 (122847 bp)
chr NW_026963342.1 (58283 bp)
chr NW_026963343.1 (556242 bp)
chr NW_026963344.1 (203489 bp)
chr NW_026963345.1 (224476 bp)
chr NW_026963346.1 (651063 bp)
chr NW_026963347.1 (1227606 bp)
chr NW_026963348.1 (21803 bp)
chr NW_026963349.1 (40271 bp)
chr NW_026963350.1 (1415666 bp)
chr NW_026963351.1 (17622 bp)
chr NW_026963352.1 (337009 bp)
chr NW_026963353.1 (20381 bp)
chr NW_026963354.1 (394918 bp)
chr NW_026963355.1 (24539 bp)
chr NW_026963356.1 (34117 bp)
chr NW_026963357.1 (666514 bp)
chr NW_026963358.1 (27938 bp)
chr NW_026963359.1 (23142 bp)
chr NW_026963360.1 (21876 bp)
chr NW_026963361.1 (21893 bp)
chr NW_026963362.1 (29136 bp)
chr NW_026963363.1 (419011 bp)
chr NW_026963364.1 (60149 bp)
chr NW_026963365.1 (61440 bp)
chr NW_026963366.1 (26902 bp)
chr NW_026963367.1 (51097 bp)
chr NW_026963368.1 (77113 bp)
chr NW_026963369.1 (121069 bp)
chr NW_026963370.1 (866335 bp)
chr NW_026963371.1 (332943 bp)
chr NW_026963372.1 (501245 bp)
chr NW_026963373.1 (41944 bp)
chr NW_026963374.1 (73985 bp)
chr NW_026963375.1 (53741 bp)
chr NW_026963376.1 (53927 bp)
chr NW_026963377.1 (15328 bp)
chr NW_026963378.1 (612846 bp)
chr NW_026963379.1 (30276 bp)
chr NW_026963380.1 (20427 bp)
chr NW_026963381.1 (25540 bp)
chr NW_026963382.1 (58265 bp)
chr NW_026963383.1 (25711 bp)
chr NW_026963384.1 (18896 bp)
chr NW_026963385.1 (34901 bp)
