"gene_id","chr","start","end","width","cpg_oe"
"gene-LOC134698647","NC_086373.1",10002,65003,55002,0.367958692044721
"gene-LOC134706153","NC_086373.1",68099,83344,15246,0.83392565483525
"gene-LOC134711849","NC_086373.1",131191,137087,5897,0.28986198422376
"gene-LOC134711854","NC_086373.1",341213,350033,8821,0.856672020892843
"gene-LOC134711859","NC_086373.1",356479,361953,5475,0.821198601330241
"gene-LOC134711884","NC_086373.1",390255,391393,1139,0.97495109359891
"gene-LOC134698678","NC_086373.1",400705,403441,2737,0.817435547244985
"gene-LOC134711867","NC_086373.1",438085,443854,5770,0.829765648844837
"gene-LOC134711873","NC_086373.1",453463,454655,1193,0.880098898471382
"gene-LOC134706163","NC_086373.1",460841,463654,2814,0.786203143553235
"gene-LOC134711893","NC_086373.1",474029,487323,13295,0.473547641351738
"gene-LOC134711904","NC_086373.1",534059,537366,3308,0.887992154306202
"gene-LOC134711912","NC_086373.1",537737,540117,2381,0.754196756084068
"gene-LOC134711916","NC_086373.1",541571,555191,13621,0.413848998322811
"gene-LOC134711923","NC_086373.1",564685,579990,15306,0.489763563183023
"gene-LOC134711927","NC_086373.1",584360,594976,10617,0.372999976259716
"gene-LOC134711935","NC_086373.1",603646,615730,12085,0.781072937255559
"gene-LOC134711942","NC_086373.1",625850,632835,6986,0.927112489417524
"gene-LOC134711955","NC_086373.1",637185,651193,14009,0.850992464631234
"gene-LOC134698710","NC_086373.1",654161,681458,27298,0.779447696224455
"gene-LOC134711962","NC_086373.1",669335,671290,1956,0.376302028684248
"gene-LOC134711965","NC_086373.1",739234,769968,30735,0.83926996823937
"gene-LOC134698741","NC_086373.1",806640,807008,369,0.71154368729097
"gene-LOC134698757","NC_086373.1",817621,864281,46661,0.820756471801929
"gene-LOC134712050","NC_086373.1",868832,935177,66346,0.306221857262897
"gene-LOC134711978","NC_086373.1",905179,1045426,140248,0.285415971467013
"gene-LOC134712059","NC_086373.1",1050383,1051930,1548,0.450884154208962
"gene-LOC134698773","NC_086373.1",1052494,1054087,1594,0.113289340702208
"gene-LOC134698789","NC_086373.1",1054778,1069005,14228,0.419837833422897
"gene-LOC134712065","NC_086373.1",1064652,1066066,1415,0.786516385925949
"gene-LOC134706174","NC_086373.1",1104764,1110984,6221,0.58326430169257
"gene-LOC134712086","NC_086373.1",1111143,1160991,49849,0.504459539434982
"gene-LOC134712072","NC_086373.1",1124009,1126759,2751,0.94347276989112
"gene-LOC134712078","NC_086373.1",1178478,1198415,19938,0.315531781492038
"gene-LOC134698835","NC_086373.1",1254870,1255523,654,0.483197851028042
"gene-LOC134698876","NC_086373.1",1261088,1510709,249622,0.828405531303511
"gene-LOC134698858","NC_086373.1",1282414,1283964,1551,0.590075630412028
"gene-LOC134706197","NC_086373.1",1561172,1672893,111722,0.580367287986518
"gene-LOC134712096","NC_086373.1",1815549,1892547,76999,0.329752933488958
"gene-LOC134712117","NC_086373.1",1898210,1913891,15682,0.853481861130373
"gene-LOC134712142","NC_086373.1",1921019,1939748,18730,0.850949104764036
"gene-LOC134706201","NC_086373.1",1941621,1942562,942,0.800533673436914
"gene-LOC134698886","NC_086373.1",1958619,1959494,876,0.798677502450194
"gene-LOC134712155","NC_086373.1",1969857,2000253,30397,0.735503761416378
"gene-LOC134706207","NC_086373.1",2013494,2021034,7541,1.19918722062849
"gene-LOC134712166","NC_086373.1",2023412,2030032,6621,0.737632273046076
"gene-LOC134712161","NC_086373.1",2030507,2040018,9512,0.349199266293115
"gene-LOC134712173","NC_086373.1",2043879,2055032,11154,0.496981361643137
"gene-LOC134712178","NC_086373.1",2062330,2203463,141134,0.345126179391448
"gene-LOC134706217","NC_086373.1",2203683,2208434,4752,0.646343597609845
"gene-LOC134712188","NC_086373.1",2211476,2246810,35335,0.37091411373542
"gene-LOC134712199","NC_086373.1",2291772,2304740,12969,1.00164498267932
"gene-LOC134712260","NC_086373.1",2363078,2378875,15798,0.226391585831814
"gene-LOC134712222","NC_086373.1",2378917,2428532,49616,0.489033043460369
"gene-LOC134712269","NC_086373.1",2430313,2484688,54376,0.299268941323038
"gene-LOC134712326","NC_086373.1",2492554,2526490,33937,0.384115364838014
"gene-LOC134706225","NC_086373.1",2531728,2541014,9287,0.898326895809743
"gene-LOC134712349","NC_086373.1",2632048,2639288,7241,0.312004462775153
"gene-LOC134698905","NC_086373.1",2650080,2655654,5575,0.829482987868904
"gene-LOC134698914","NC_086373.1",2655937,2668939,13003,0.831602625323636
