.	Basic Statistics	Per Base Sequence Quality	Per Tile Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
105M_R1	1	1	0.25	1	0.5	0.5	1	0.5	1	1	1
105M_R2	1	1	0.25	1	0.5	0.5	1	0.5	1	1	1
106M_R1	1	1	0.25	1	0.5	0.5	1	0.5	1	1	1
106M_R2	1	1	0.25	1	0.5	0.5	1	0.5	1	1	1
107M_R1	1	1	0.25	1	0.5	0.5	1	0.5	1	1	1
107M_R2	1	1	0.25	1	0.5	0.5	1	0.5	1	1	1
109M_R1	1	1	0.25	1	0.5	0.5	1	0.5	1	1	1
109M_R2	1	1	0.25	1	0.5	0.5	1	0.5	1	1	1
239M_R1	1	1	0.25	1	0.5	0.5	1	0.5	1	1	1
239M_R2	1	1	0.25	1	0.5	0.5	1	0.5	1	1	1
240M_R1	1	1	0.25	1	0.5	0.5	1	0.5	1	1	1
240M_R2	1	1	0.25	1	0.5	0.5	1	0.5	1	1	1
241M_R1	1	1	0.25	1	0.5	0.5	1	0.5	1	1	1
241M_R2	1	1	0.25	1	0.5	0.5	1	0.5	1	1	1
242M_R1	1	1	0.25	1	0.5	0.5	1	0.5	1	1	1
242M_R2	1	1	0.25	1	0.5	0.5	1	0.5	1	1	1
269M_R1	1	1	0.25	1	0.5	0.5	1	0.5	1	1	1
269M_R2	1	1	0.25	1	0.5	0.5	1	0.5	1	1	1
270M_R1	1	1	0.25	1	0.5	0.5	1	0.5	1	1	1
270M_R2	1	1	0.25	1	0.5	0.5	1	0.5	1	1	1
271M_R1	1	1	0.25	1	0.5	0.5	1	0.5	1	1	1
271M_R2	1	1	0.25	1	0.5	0.5	1	0.5	1	1	1
272M_R1	1	1	0.25	1	0.5	0.5	1	0.5	1	1	1
272M_R2	1	1	0.25	1	0.5	0.5	1	0.5	1	1	1
69M_R1	1	1	0.25	1	0.5	0.5	1	0.5	1	1	1
69M_R2	1	1	0.25	1	0.5	0.5	1	0.5	1	1	1
70M_R1	1	1	0.25	1	0.5	0.5	1	0.5	1	1	1
70M_R2	1	1	0.25	1	0.5	0.5	1	0.5	1	1	1
71M_R1	1	1	0.25	1	0.5	0.5	1	0.5	1	1	1
71M_R2	1	1	0.25	1	0.5	0.5	1	0.5	1	1	1
72M_R1	1	1	0.25	1	0.5	0.5	1	0.5	1	1	1
72M_R2	1	1	0.25	1	0.5	0.5	1	0.5	1	1	1
78M_R1	1	1	0.25	1	0.5	0.5	1	0.5	1	1	1
78M_R2	1	1	0.25	1	0.5	0.5	1	0.5	1	1	1
79M_R1	1	1	0.25	1	0.5	0.5	1	0.5	1	1	1
79M_R2	1	1	0.25	1	0.5	0.5	1	0.5	1	1	1
80M_R1	1	1	0.25	1	0.5	0.5	1	0.5	1	1	1
80M_R2	1	1	0.25	1	0.5	0.5	1	0.5	1	1	1
81M_R1	1	1	0.25	1	0.5	0.5	1	0.5	1	1	1
81M_R2	1	1	0.25	1	0.5	0.5	1	0.5	1	1	1
92M_R1	1	1	0.25	1	0.5	0.5	1	0.5	1	1	1
92M_R2	1	1	0.25	1	0.5	0.5	1	0.5	1	1	1
93M_R1	1	1	0.25	1	0.5	0.5	1	0.5	1	1	1
93M_R2	1	1	0.25	1	0.5	0.5	1	0.5	1	1	1
94M_R1	1	1	0.25	1	0.5	0.5	1	0.5	1	1	1
94M_R2	1	1	0.25	1	0.5	0.5	1	0.5	1	1	1
95M_R1	1	1	0.25	1	0.5	0.5	1	0.5	1	1	1
95M_R2	1	1	0.25	1	0.5	0.5	1	0.5	1	1	1
